	Ref	POS	Morpheme	MorTag	Line
116	<CA Lk 19:3>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
117	<CA Lk 19:3>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
118	<CA Lk 19:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
119	<CA Lk 19:3>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
120	<CA Lk 19:3>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah sokida gasaiƕan Iesu , ƕas wesi , jah ni ▶mahta◀ faura managein , unte wahstau leitils was . 
121	<CA Lk 20:26>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	jah ni ▶mahtedun◀ gafahan is waurde in andwairþja manageins jah sildaleikjandans andawaurde is gaþahaidedun . 
122	<CA Lk 20:36>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	nih allis gaswiltan þanaseiþs ▶magun◀ , ibnans aggilum auk sind jah sunjus sind gudis , usstassais sunjus wisandans . 
123	<CA Mk 1:40>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	jah qam at imma þrutsfill habands , bidjands ina jah kniwam knussjands jah qiþands du imma þatei jabai wileis , ▶magt◀ mik gahrainjan . 
124	<CA Mk 1:45>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
125	<CA Mk 1:45>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
126	<CA Mk 1:45>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
127	<CA Mk 1:45>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
128	<CA Mk 1:45>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
129	<CA Mk 1:45>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
130	<CA Mk 1:45>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	iþ is usgaggands dugann merjan filu jah usqiþan þata waurd , swaswe is juþan ni ▶mahta◀ andaugjo in baurg galeiþan , ak uta ana auþjaim stadim was ; jah iddjedun du imma allaþro . 
131	<CA Mk 2:4>	Verb	V.prt.-prs.	WEAK-MASC-NOM-PLUR	jah ni ▶magandans◀ neƕa qiman imma faura manageim , andhulidedun hrot þarei was Iesus jah usgrabandans insailidedun þata badi jah fralailotun ana þammei lag sa usliþa . 
132	<CA Mk 2:4>	Verb	V.prt.-prs.	WEAK-MASC-ACC-PLUR	jah ni ▶magandans◀ neƕa qiman imma faura manageim , andhulidedun hrot þarei was Iesus jah usgrabandans insailidedun þata badi jah fralailotun ana þammei lag sa usliþa . 
133	<CA Mk 2:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ƕa sa swa rodeiþ naiteinins ? ƕas ▶mag◀ afletan frawaurhtins , niba ains guþ ? 
134	<CA Mk 2:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	ƕa sa swa rodeiþ naiteinins ? ƕas ▶mag◀ afletan frawaurhtins , niba ains guþ ? 
135	<CA Mk 2:19>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	jah qaþ im Iesus : ibai ▶magun◀ sunjus bruþfadis , und þatei miþ im ist bruþfaþs , fastan ? swa lagga ƕeila swe miþ sis haband bruþfad , ni ▶magun◀ fastan . 
136	<CA Mk 2:19>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	jah qaþ im Iesus : ibai ▶magun◀ sunjus bruþfadis , und þatei miþ im ist bruþfaþs , fastan ? swa lagga ƕeila swe miþ sis haband bruþfad , ni ▶magun◀ fastan . 
137	<CA Mk 3:20>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	jah atiddjedun in gard , jah gaïddja sik aftra managei , swaswe ni ▶mahtedun◀ nih hlaif matjan . 
138	<CA Mk 3:23>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah athaitands ins in gajukom qaþ du im : ƕaiwa ▶mag◀ Satanas Satanan uswairpan ? 
139	<CA Mk 3:23>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah athaitands ins in gajukom qaþ du im : ƕaiwa ▶mag◀ Satanas Satanan uswairpan ? 
140	<CA Mk 3:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah jabai þiudangardi wiþra sik gadailjada , ni ▶mag◀ standan so þiudangardi jaina . 
141	<CA Mk 3:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah jabai þiudangardi wiþra sik gadailjada , ni ▶mag◀ standan so þiudangardi jaina . 
142	<CA Mk 3:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah jabai gards wiþra sik gadailjada , ni ▶mag◀ standan sa gards jains . 
143	<CA Mk 3:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah jabai gards wiþra sik gadailjada , ni ▶mag◀ standan sa gards jains . 
144	<CA Mk 3:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah jabai Satana usstoþ ana sik silban jah gadailiþs warþ , ni ▶mag◀ gastandan , ak andi habaiþ . 
145	<CA Mk 3:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah jabai Satana usstoþ ana sik silban jah gadailiþs warþ , ni ▶mag◀ gastandan , ak andi habaiþ . 
146	<CA Mk 3:27>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni manna ▶mag◀ kasa swinþis galeiþands in gard is wilwan , niba faurþis þana swinþan gabindiþ ; jah þan þana gard is diswilwai . 
147	<CA Mk 3:27>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	ni manna ▶mag◀ kasa swinþis galeiþands in gard is wilwan , niba faurþis þana swinþan gabindiþ ; jah þan þana gard is diswilwai . 
148	<CA Mk 4:32>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	jah þan saiada , urrinniþ jah wairþiþ allaize grase maist jah gataujiþ astans mikilans , swaswe ▶magun◀ uf skadau is fuglos himinis gabauan . 
149	<CA Mk 4:33>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	jah swaleikaim managaim gajukom rodida du im þata waurd , swaswe ▶mahtedun◀ hausjon . 
150	<CA Mk 5:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
151	<CA Mk 5:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
152	<CA Mk 5:3>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
153	<CA Mk 5:3>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
154	<CA Mk 5:3>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
155	<CA Mk 5:3>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
156	<CA Mk 5:3>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	saei bauain habaida in aurahjom : jah ni naudibandjom eisarneinaim manna ▶mahta◀ ina gabindan . 
157	<CA Mk 5:4>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
158	<CA Mk 5:4>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
159	<CA Mk 5:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
160	<CA Mk 5:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
161	<CA Mk 5:4>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
162	<CA Mk 5:4>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
163	<CA Mk 5:4>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	unte is ufta eisarnam bi fotuns gabuganaim jah naudibandjom eisarneinaim gabundans was jah galausida af sis þos naudibandjos jah þo ana fotum eisarna gabrak , jah manna ni ▶mahta◀ ina gatamjan . 
164	<CA Mk 5:30>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	jah sunsaiw Iesus ufkunþa in sis silbin þo us sis ▶maht◀ usgaggandein ; gawandjands sik in managein qaþ : ƕas mis taitok wastjom ? 
165	<CA Mk 5:30>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah sunsaiw Iesus ufkunþa in sis silbin þo us sis ▶maht◀ usgaggandein ; gawandjands sik in managein qaþ : ƕas mis taitok wastjom ? 
166	<CA Mk 6:5>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
167	<CA Mk 6:5>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
168	<CA Mk 6:5>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
169	<CA Mk 6:5>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
170	<CA Mk 6:5>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
171	<CA Mk 6:5>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
172	<CA Mk 6:5>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah ni ▶mahta◀ jainar ainohun mahte gataujan , niba fawaim siukaim handuns galagjands gahailida . 
173	<CA Mk 6:19>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
174	<CA Mk 6:19>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
175	<CA Mk 6:19>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
176	<CA Mk 6:19>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
177	<CA Mk 6:19>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
178	<CA Mk 6:19>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
179	<CA Mk 6:19>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	iþ so Herodia naiw imma jah wilda imma usqiman jah ni ▶mahta◀ ; 
180	<CA Mk 7:15>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	ni waihts ist utaþro mans inngaggando in ina þatei ▶magi◀ ina gamainjan ; ak þata utgaggando us mann þata ist þata gamainjando mannan . 
181	<CA Mk 7:18>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah qaþ du im : swa jah jus unwitans sijuþ ? ni fraþjiþ þammei all þata utaþro inngaggando in mannan ni ▶mag◀ ina gamainjan : 
182	<CA Mk 7:18>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah qaþ du im : swa jah jus unwitans sijuþ ? ni fraþjiþ þammei all þata utaþro inngaggando in mannan ni ▶mag◀ ina gamainjan : 
183	<CA Mk 7:24>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
184	<CA Mk 7:24>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
185	<CA Mk 7:24>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
186	<CA Mk 7:24>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
187	<CA Mk 7:24>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
188	<CA Mk 7:24>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
189	<CA Mk 7:24>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah jainþro usstandands galaiþ in markos Twre jah Seidone jah galeiþands in gard ni wilda witan mannan jah ni ▶mahta◀ galaugnjan . 
190	<CA Mk 8:4>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah andhofun imma siponjos is : ƕaþro þans ▶mag◀ ƕas gasoþjan hlaibam ana auþidai ? 
191	<CA Mk 8:4>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah andhofun imma siponjos is : ƕaþro þans ▶mag◀ ƕas gasoþjan hlaibam ana auþidai ? 
192	<CA Mk 9:1>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	Jah qaþ du im : amen , qiþa izwis þatei sind sumai þize her standandane , þai ize ni kausjand dauþaus , unte gasaiƕand þiudinassu gudis qumanana in ▶mahtai◀ . 
193	<CA Mk 9:1>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	Jah qaþ du im : amen , qiþa izwis þatei sind sumai þize her standandane , þai ize ni kausjand dauþaus , unte gasaiƕand þiudinassu gudis qumanana in ▶mahtai◀ . 
194	<CA Mk 9:3>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah wastjos is waurþun glitmunjandeins , ƕeitos swe snaiws , swaleikos swe wullareis ana airþai ni ▶mag◀ gaƕeitjan . 
195	<CA Mk 9:3>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah wastjos is waurþun glitmunjandeins , ƕeitos swe snaiws , swaleikos swe wullareis ana airþai ni ▶mag◀ gaƕeitjan . 
196	<CA Mk 9:18>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	jah þisƕaruh þei ina gafahiþ , gawairpiþ ina , jah ƕaþjiþ jah kriustiþ tunþuns seinans jah gastaurkniþ ; jah qaþ siponjam þeinaim ei usdreibeina ina , jah ni ▶mahtedun◀ . 
197	<CA Mk 9:22>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-2	jah ufta ina jah in fon atwarp jah in wato , ei usqistidedi imma ; akei jabai ▶mageis◀ , hilp unsara , gableiþjands unsis . 
198	<CA Mk 9:23>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-2	iþ Iesus qaþ du imma þata jabai ▶mageis◀ galaubjan ; allata mahteig þamma galaubjandin . 
199	<CA Mk 9:28>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-1	jah galeiþandan ina in gard , siponjos is frehun ina sundro : duƕe weis ni ▶mahtedum◀ usdreiban þana ? 
200	<CA Mk 9:29>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah qaþ du im : þata kuni in waihtai ni ▶mag◀ usgaggan , niba in bidai jah fastubnja . 
201	<CA Mk 9:29>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah qaþ du im : þata kuni in waihtai ni ▶mag◀ usgaggan , niba in bidai jah fastubnja . 
202	<CA Mk 9:39>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	iþ is qaþ : ni warjiþ imma ; ni mannahun auk ist saei taujiþ ▶maht◀ in namin meinamma jah magi sprauto ubilwaurdjan mis ; 
203	<CA Mk 9:39>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	iþ is qaþ : ni warjiþ imma ; ni mannahun auk ist saei taujiþ ▶maht◀ in namin meinamma jah magi sprauto ubilwaurdjan mis ; 
204	<CA Mk 9:39>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	iþ is qaþ : ni warjiþ imma ; ni mannahun auk ist saei taujiþ maht in namin meinamma jah ▶magi◀ sprauto ubilwaurdjan mis ; 
205	<CA Mk 10:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	iþ eis mais usgeisnodedun qiþandans du sis misso : jah ƕas ▶mag◀ ganisan ? 
206	<CA Mk 10:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	iþ eis mais usgeisnodedun qiþandans du sis misso : jah ƕas ▶mag◀ ganisan ? 
207	<CA Mk 10:39>	Verb	V.prt.-prs.	ACT-IND-PRES-DUAL-1	iþ eis qeþun du imma : ▶magu◀ . iþ Iesus qaþuh du im : sweþauh þana stikl þanei ik driggka , driggkats jah þizai daupeinai þizaiei ik daupjada daupjanda ; 
208	<CA Mk 12:24>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	jah andhafjands Iesus qaþ du im : niu duþe airzjai sijuþ , ni kunnandans mela nih ▶maht◀ gudis ? 
209	<CA Mk 12:24>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah andhafjands Iesus qaþ du im : niu duþe airzjai sijuþ , ni kunnandans mela nih ▶maht◀ gudis ? 
210	<CA Mk 12:30>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah frijos fraujan guþ þeinana us allamma hairtin þeinamma jah us allai saiwalai þeinai jah us allai gahugdai þeinai jah us allai ▶mahtai◀ þeinai . so frumista anabusns . 
211	<CA Mk 12:30>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah frijos fraujan guþ þeinana us allamma hairtin þeinamma jah us allai saiwalai þeinai jah us allai gahugdai þeinai jah us allai ▶mahtai◀ þeinai . so frumista anabusns . 
212	<CA Mk 12:33>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah þata du frijon ina us allamma hairtin jah us allamma fraþja jah us allai saiwalai jah us allai ▶mahtai◀ , jah þata du frijon neƕundjan swe sik silban managizo ist allaim þaim alabrunstim jah saudim . 
213	<CA Mk 12:33>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah þata du frijon ina us allamma hairtin jah us allamma fraþja jah us allai saiwalai jah us allai ▶mahtai◀ , jah þata du frijon neƕundjan swe sik silban managizo ist allaim þaim alabrunstim jah saudim . 
214	<CA Mk 13:26>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah þan gasaiƕand sunu mans qimandan in milhmam miþ ▶mahtai◀ managai jah wulþau . 
215	<CA Mk 13:26>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah þan gasaiƕand sunu mans qimandan in milhmam miþ ▶mahtai◀ managai jah wulþau . 
216	<CA Mk 14:5>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	▶maht◀ wesi auk þata balsan frabugjan in managizo þau þrija hunda skatte jah giban unledaim . jah andstaurraidedun þo . 
217	<CA Mk 14:5>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	▶maht◀ wesi auk þata balsan frabugjan in managizo þau þrija hunda skatte jah giban unledaim . jah andstaurraidedun þo . 
218	<CA Mk 14:7>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	sinteino auk þans unledans habaiþ miþ izwis , jah þan wileiþ , ▶maguþ◀ im waila taujan ; iþ mik ni sinteino habaiþ . 
219	<CA Mk 15:31>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	samaleiko jah þai auhumistans gudjans bilaikandans ina miþ sis misso miþ þaim bokarjam qeþun : anþarans ganasida , iþ sik silban ni ▶mag◀ ganasjan . 
220	<CA Mk 15:31>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	samaleiko jah þai auhumistans gudjans bilaikandans ina miþ sis misso miþ þaim bokarjam qeþun : anþarans ganasida , iþ sik silban ni ▶mag◀ ganasjan . 
221	<A Rom 8:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	unte fraþi leikis fijands du guda ; witoda gudis ni ufhauseiþ , iþ ni ▶mag◀ : 
222	<A Rom 8:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	unte fraþi leikis fijands du guda ; witoda gudis ni ufhauseiþ , iþ ni ▶mag◀ : 
223	<A Rom 8:8>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	aþþan þai in leika wisandans guda galeikan ni ▶magun◀ . 
224	<A Rom 8:39>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	nih hauhiþa nih diupiþa nih gaskafts (unclear)anþara(/unclear)magi ▶uns◀ afskaidan af friaþwai gudis þizai in Xristau Iesu , fraujin ▶uns◀aramma . 
225	<A Rom 9:17>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	qiþiþ auk þata gamelido du Faraoni , (unclear)unte(/unclear)(unclear)in(/unclear)(unclear)þize(/unclear)(unclear)jah(/unclear)(unclear)raisida(/unclear)þuk , ei gabairhtjau bi þus maht ▶mein◀a jah gateihaidau namo ▶mein◀ and alla airþa . 
226	<A Rom 9:17>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	qiþiþ auk þata gamelido du Faraoni , (unclear)unte(/unclear)(unclear)in(/unclear)(unclear)þize(/unclear)(unclear)jah(/unclear)(unclear)raisida(/unclear)þuk , ei gabairhtjau bi þus maht ▶mein◀a jah gateihaidau namo ▶mein◀ and alla airþa . 
227	<A Rom 12:18>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	jabai ▶magi◀ wairþan us izwis , miþ allaim mannam gawairþi habandans . 
228	<Car Rom 12:18>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	jabai ▶magi◀ wairþan us izwis , miþ allaim mannam gawairþi habandans . 
229	<A 1Cor 1:18>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	unte þata waurd galgins þaim fralusnandam dwaliþa ist , iþ þaim ganisandam ▶mahts◀ gudis ist . 
230	<A 1Cor 1:24>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	iþ þaim galaþodam Iudaie jah þiudo Xristu , gudis ▶maht◀ jah gudis handugein . 
231	<A 1Cor 1:24>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	iþ þaim galaþodam Iudaie jah þiudo Xristu , gudis ▶maht◀ jah gudis handugein . 
232	<A 1Cor 5:4>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	in namin fraujins unsaris Iesuis Xristaus , samaþ gagaggandam izwis jah meinamma ahmin , miþ ▶mahtai◀ fraujins unsaris Iesuis Xristaus , 
233	<A 1Cor 5:4>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	in namin fraujins unsaris Iesuis Xristaus , samaþ gagaggandam izwis jah meinamma ahmin , miþ ▶mahtai◀ fraujins unsaris Iesuis Xristaus , 
234	<A 1Cor 7:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	skalks galaþoþs wast , ni karos ; akei þauhjabai ▶magt◀ freis wairþan , mais brukei . 
235	<A 1Cor 10:21>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ni ▶maguþ◀ stikl fraujins drigkan jah stikl skohsle ; ni ▶maguþ◀ biudis fraujins fairaihan jab~biudis skohsle . 
236	<A 1Cor 10:21>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ni ▶maguþ◀ stikl fraujins drigkan jah stikl skohsle ; ni ▶maguþ◀ biudis fraujins fairaihan jab~biudis skohsle . 
237	<A 1Cor 12:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	niþ~þan ▶mag◀ augo qiþan du handau : þeina ni þarf , aiþþau aftra haubiþ du fotum : iggqara ni þarf ; 
238	<A 1Cor 12:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	niþ~þan ▶mag◀ augo qiþan du handau : þeina ni þarf , aiþþau aftra haubiþ du fotum : iggqara ni þarf ; 
239	<A 1Cor 15:50>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	þata auk qiþa , broþrjus , þei leik jah bloþ þiudinassu gudis ganiman ni ▶magun◀ , nih riurei unriureins arbjo wairþiþ . 
